GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
The Java InfluxDB 2.x Client,com.influxdb.client.domain,HealthCheck.StatusEnum,58,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SecretKeysResponseLinks,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafPlugin.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DashboardLinks,203,0,20,0,32,0,21,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateApplyRemotes,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckBase.LastRunStatusEnum,65,0,4,0,13,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BandViewProperties.HoverDimensionEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryLabelProperties,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafRequestMetadata,103,0,10,0,26,0,14,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ThresholdCheckTags,121,0,12,0,28,0,17,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ScraperTargetRequest.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,ConditionalExpression.ConditionalExpressionTestAdapter,370,0,46,0,54,0,28,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateExportByID,195,0,18,0,45,0,25,0,16,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Axis,280,0,22,0,62,0,35,0,24,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYGeom,79,0,4,0,15,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,XYViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,AxisScale.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BandViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,CheckBase,529,0,40,0,99,0,57,0,37,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,IsOnboarding,83,0,8,0,21,0,12,0,8,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateExportByIDResourceFilters,161,0,16,0,38,0,21,0,13,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Error,153,0,16,0,26,0,17,0,9,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegramNotificationRuleBase.ParseModeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegramNotificationRule,67,0,8,0,15,0,9,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,OnboardingResponse,201,0,16,0,46,0,25,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,RetentionPolicyManifest,281,0,20,0,62,0,35,0,25,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,StringLiteral,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TelegrafPlugin.TypeEnum,58,0,4,0,12,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Authorization,363,11,32,0,61,3,37,1,21,1
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummaryDiffLabels,266,0,20,0,59,0,33,0,23,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SingleStatViewProperties.ShapeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Bucket.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SlackNotificationEndpoint,142,0,14,0,30,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,OrganizationLinks,253,0,24,0,38,0,25,0,13,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Dashboards,144,0,14,0,34,0,19,0,12,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,DashboardQuery,195,0,16,0,44,0,25,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,MosaicViewProperties.TypeEnum.Adapter,16,0,0,0,5,0,3,0,3,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TemplateSummarySummaryDashboards,422,0,32,0,93,0,51,0,35,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,PostUser,183,0,16,0,39,0,23,0,15,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,TestStatement,145,0,14,0,31,0,18,0,11,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,SingleStatViewProperties.TypeEnum,51,0,4,0,11,0,7,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,NotificationRuleBaseLinks,178,0,18,0,29,0,19,0,10,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,BinaryExpression,216,0,18,0,46,0,26,0,17,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Check,67,0,8,0,15,0,9,0,5,0
The Java InfluxDB 2.x Client,com.influxdb.client.domain,Dialect.DateTimeFormatEnum.Adapter,7,9,0,0,2,3,1,2,1,2
